央视,#genre#
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/5IE54NDE29AD99E6/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/10EI2I85AI5005A4/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/693517433AI1I68A/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/4A466A17D631AAE4/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/210NI47D70NN7070/12ADA7JJ5AJ26747$IPV4_源1
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/6J8DA3NEE1432D88/12ADA7JJ5AJ26747$IPV4_源2
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/7JJ87N78639A059I/12ADA7JJ5AJ26747$IPV4_源3
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/283744AD90503EIE/12ADA7JJ5AJ26747$IPV4_源4
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/I746EA9NJI5822N6/12ADA7JJ5AJ26747$IPV4_源5
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/5732N9N4E4N39D46/12ADA7JJ5AJ26747$IPV4_源6
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/769353IND9D58D0E/12ADA7JJ5AJ26747$IPV6_源1
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/J4474I3E575023E1/12ADA7JJ5AJ26747$IPV6_源2
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/N792EA144155A13E/12ADA7JJ5AJ26747$IPV6_源3
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/9155I57N4A9JD75J/12ADA7JJ5AJ26747$IPV6_源4
CCTV-1 综合,http://godiptv.dns.navy:1024/tv/play/4/55NIJ4I5N65E700D/12ADA7JJ5AJ26747$IPV6_源5
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/N933E2J88D607562/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/095A937EE4832NDA/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/7548DD4E34965637/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/0408J79N219D330I/12ADA7JJ5AJ26747$IPV4_源1
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/9IJJ61D78443D321/12ADA7JJ5AJ26747$IPV4_源2
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/5875IEDENINJ4EDI/12ADA7JJ5AJ26747$IPV4_源3
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/I01JI29E614A8A59/12ADA7JJ5AJ26747$IPV4_源4
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/J42J0N105391957I/12ADA7JJ5AJ26747$IPV4_源5
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/8N050JI3ENDN0D7N/12ADA7JJ5AJ26747$IPV4_源6
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/221AA5558II15989/12ADA7JJ5AJ26747$IPV4_源7
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/5J8D8A600027EI61/12ADA7JJ5AJ26747$IPV6_源1
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/A8J58DE4D6I9J49N/12ADA7JJ5AJ26747$IPV6_源2
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/4D3208290N2N93DA/12ADA7JJ5AJ26747$IPV6_源3
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/5I0E32D15ED64066/12ADA7JJ5AJ26747$IPV6_源4
CCTV-2 财经,http://godiptv.dns.navy:1024/tv/play/4/09503IAD62J77DAN/12ADA7JJ5AJ26747$IPV6_源5
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/605E5J62507ID8AA/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/D4IID1E22476D645/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/1E192I7754DIEDA5/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/276640N20112A2NE/12ADA7JJ5AJ26747$IPV4_源1
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/D4188260A0IENI20/12ADA7JJ5AJ26747$IPV4_源2
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/2NA25793A8NIJ9J7/12ADA7JJ5AJ26747$IPV4_源3
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/3AA3JN670E46ANE8/12ADA7JJ5AJ26747$IPV4_源4
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/I1D0008364298593/12ADA7JJ5AJ26747$IPV4_源5
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/AEEE4E9821285A4A/12ADA7JJ5AJ26747$IPV4_源6
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/24E0J0779874J7N1/12ADA7JJ5AJ26747$IPV4_源7
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/28EA0N03N4J590N5/12ADA7JJ5AJ26747$IPV6_源1
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/87EJ69DAA5002A41/12ADA7JJ5AJ26747$IPV6_源2
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/NN4EJ8A1NE046JD1/12ADA7JJ5AJ26747$IPV6_源3
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/94E5150N39J63NDI/12ADA7JJ5AJ26747$IPV6_源4
CCTV-3 综艺,http://godiptv.dns.navy:1024/tv/play/4/76A5087340600718/12ADA7JJ5AJ26747$IPV6_源5
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/30682A21E1174ED4/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/JDJD7AE0I91N984I/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/DD92N2D3JA2ND2AI/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/5J8II68391427820/12ADA7JJ5AJ26747$IPV4_源1
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/10J176AA4N0A2I96/12ADA7JJ5AJ26747$IPV4_源2
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/231348J731238EDJ/12ADA7JJ5AJ26747$IPV4_源3
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/IADN4N94A7D9621D/12ADA7JJ5AJ26747$IPV4_源4
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/53AJ03JDDIN14I33/12ADA7JJ5AJ26747$IPV4_源5
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/J3IE56E0I86468DN/12ADA7JJ5AJ26747$IPV4_源6
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/D1048I643D49I1D6/12ADA7JJ5AJ26747$IPV4_源7
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/92D34470D22981I5/12ADA7JJ5AJ26747$IPV6_源1
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/EAEJI9J0NAA0E85A/12ADA7JJ5AJ26747$IPV6_源2
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/A1IJE3AJNJ9E0I7E/12ADA7JJ5AJ26747$IPV6_源3
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/06A038654E904428/12ADA7JJ5AJ26747$IPV6_源4
CCTV-4 中文国际,http://godiptv.dns.navy:1024/tv/play/4/10NJ2DN10858JII1/12ADA7JJ5AJ26747$IPV6_源5
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/9DANA8EDA9E71I54/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/N01328IE5DN11J6A/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/J4N9NJE8316D2438/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/9I138A670IE19856/12ADA7JJ5AJ26747$IPV4_源1
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/316J0D56AIA311EA/12ADA7JJ5AJ26747$IPV4_源2
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/A47J18IEA9N44A5E/12ADA7JJ5AJ26747$IPV4_源3
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/3693ED3E095ENAED/12ADA7JJ5AJ26747$IPV4_源4
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/E3N0D550A129668J/12ADA7JJ5AJ26747$IPV4_源5
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/328770D18694I3EA/12ADA7JJ5AJ26747$IPV4_源6
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/9EA5I6N516I39D8E/12ADA7JJ5AJ26747$IPV4_源7
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/6N2IE712JD22D5EJ/12ADA7JJ5AJ26747$IPV6_源1
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/DAI2AJJ1I2649705/12ADA7JJ5AJ26747$IPV6_源2
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/735056E3964A38N3/12ADA7JJ5AJ26747$IPV6_源3
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/I7E78DI702EJ704J/12ADA7JJ5AJ26747$IPV6_源4
CCTV-5 体育,http://godiptv.dns.navy:1024/tv/play/4/E5643597803AJI3J/12ADA7JJ5AJ26747$IPV6_源5
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/4N14116J7285A13J/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/2I1317I77N2N0688/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/D35I6169377245J6/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/JDJI4J170ADJ3I5E/12ADA7JJ5AJ26747$IPV4_神助AI源
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/3ED79AAA907A8AJ0/12ADA7JJ5AJ26747$IPV4_源1
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/103I31EAN5016220/12ADA7JJ5AJ26747$IPV4_源2
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/9226D90111EIA26N/12ADA7JJ5AJ26747$IPV4_源3
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/434DNNI4861N53N1/12ADA7JJ5AJ26747$IPV4_源4
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/3N9N701D9558J8EE/12ADA7JJ5AJ26747$IPV4_源5
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/JANI03J7733AJ6J0/12ADA7JJ5AJ26747$IPV4_源6
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/91746A2N5756N15D/12ADA7JJ5AJ26747$IPV6_源1
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/JD73A04N0N63064N/12ADA7JJ5AJ26747$IPV6_源2
CCTV-5+ 体育赛事,http://godiptv.dns.navy:1024/tv/play/4/68D164J75A7299E0/12ADA7JJ5AJ26747$IPV6_源3
